['لکسوس NX هیبرید', '2017', '78,669', '7,500,000,000']
['اطلس', '1403', 'صفر', '610,000,000']
['ساینا', '1403', 'صفر', '465,000,000']
['هایما S7 توربو', '1403', 'صفر', '1,725,000,000']
['رانا', '1402', '59', '625,000,000']
['کوییک', '1403', 'صفر', '470,000,000']
['ساینا', '1402', 'صفر', '500,000,000']
['کوییک', '1403', 'صفر', '462,000,000']
['کوییک', '1403', 'صفر', '460,000,000']
['هیوندای توسان', '2014', '98,726', '2,650,000,000']
['پژو 206 صندوقدار', '1398', '94,000', '568,000,000']
['جک J4', '1403', 'صفر', '950,000,000']
['تویوتا لندکروز', '2013', '150,000', '18,000,000,000']
['دنا پلاس', '1401', '37,000', '890,000,000']
['تارا', '1400', '12,075', '850,000,000']
['پژو 207', '1400', '15,535', '740,000,000']
['سانگ یانگ تیوولی', '2017', '122,600', '1,770,000,000']
['ام وی ام X55 پرو', '1402', '900', '1,630,000,000']
['پژو 206', '1400', '60,252', '535,000,000']
['هایما S5', '1401', '19,725', '1,320,000,000']
['پژو 207', '1402', '1,160', '668,000,000']
['ام وی ام  X33 s', '1396', '112,000', '839,000,000']
['فیدلیتی', '1400', '39,045', '1,710,000,000']
['مزدا 3 جدید', '1398', '53,000', '2,450,000,000']
['KMC K7', '1401', '10,500', '1,830,000,000']
['رسپکت', '1402', '90', '1,400,000,000']
['پژو 207 مولتی کالر', '1402', '3,306', '880,000,000']
['جک J4', '1400', '28,000', '715,000,000']
['هایما S7 توربو', '1399', '54,000', '1,420,000,000']
['کوییک', '1402', '1,393', '420,000,000']
['پراید 111', '1396', '90,000', '290,000,000']
['تویوتا CHR هیبرید', '2018', '104,466', '5,270,000,000']
['رنو سفران', '2014', '141,857', '1,450,000,000']
['کوییک', '1402', '8,454', '450,000,000']
['کیا کارنز', '2015', '56,693', '1,900,000,000']
['کوییک', '1402', '13,435', '505,000,000']
['تارا', '1402', '151', '800,000,000']
['پراید 131', '1392', '120,077', '260,000,000']
['پژو پارس', '1402', 'صفر', '665,000,000']
['دنا پلاس', '1400', '2,140', '930,000,000']
['دنا پلاس', '1402', 'صفر', '832,000,000']
['پژو پارس', '1401', '48,400', '619,000,000']
['کوییک', '1401', '36,725', '385,000,000']
['هیوندای سانتافه', '2017', '180,414', '4,400,000,000']
['تیبا 2', '1400', '69,000', '365,000,000']
['هیوندای سوناتا', '2015', '92,000', '3,350,000,000']
['تویوتا پریوس', '2017', '104,000', '2,400,000,000']
['پژو 207', '1400', '12,626', '875,000,000']
['پژو 207', '1402', 'صفر', '1,010,000,000']
['تارا', '1402', 'صفر', '920,000,000']
['کوییک', '1401', 'صفر', '408,000,000']
['تویوتا پریوس', '2017', '82,266', '2,300,000,000']
['تارا', '1402', '127', '900,000,000']
['فولکس تیگوان', '2018', '46,429', '6,600,000,000']
['فیدلیتی', '1402', '50', '1,900,000,000']
['رنو تلیسمان', '2018', '63,180', '4,300,000,000']
['دنا پلاس', '1402', 'صفر', '795,000,000']
['پژو 207', '1400', '33,678', '855,000,000']
['سراتو سایپا', '1396', '37,000', '1,210,000,000']
['FX', '1402', '400', '2,300,000,000']
['CS35 پلاس', '2023', 'صفر', '1,680,000,000']
['جک S3', '1400', '43,642', '1,045,000,000']
['دنا پلاس', '1403', '40', '1,080,000,000']
['پژو پارس', '1401', '54', '795,000,000']
['پژو 508', '2017', '136,722', '2,350,000,000']
['پراید 111', '1399', '100,257', '320,000,000']
['هیوندای i20', '2015', '140,603', '1,430,000,000']
['دنا پلاس', '1401', '16,808', '950,000,000']
['جک S3', '1397', '92,000', '930,000,000']
['شاهین', '1401', '635', '700,000,000']
['رانا', '1401', '36,500', '620,000,000']
['سانگ یانگ تیوولی', '2017', '88,151', '1,840,000,000']
['سانگ یانگ تیوولی', '2016', '99,000', '1,600,000,000']
['کوییک', '1401', '53', '405,000,000']
['هیوندای توسان', '2014', '116,480', '2,230,000,000']
['پژو 207', '1402', '69', '780,000,000']
['برلیانس کراس', '1396', '117,437', '600,000,000']
['آریزو 5 FL', '1402', '60', '1,390,000,000']
['ام وی ام X33', '1391', '182,000', '496,000,000']
['چری آریزو 5', '1398', '46,000', '990,000,000']
['کیا سراتو', '2017', '90,000', '2,750,000,000']
['دنا پلاس', '1402', '10,000', '995,000,000']
['کوییک', '1401', '14,769', '391,000,000']
['پژو 207', '1402', 'صفر', '1,010,000,000']
['سراتو سایپا', '1396', '133,438', '1,510,000,000']
['تویوتا کرولا', '2022', 'صفر', '4,050,000,000']
['پژو 206 صندوقدار', '1396', '72,000', '495,000,000']
['هیوندای النترا', '2023', 'صفر', '3,900,000,000']
['جک J5', '1396', '105,000', '695,000,000']
['هیوندای i10', '1396', '72,755', '1,550,000,000']
['دنا پلاس', '1402', '1,033', '796,000,000']
['KMC T8', '1401', '15,800', '1,480,000,000']
['سمند LX', '1394', '188,085', '353,000,000']
['تیگو 8  پرو', '1402', 'صفر', '3,050,000,000']
['ساندرو استپ وی', '1395', '153,000', '880,000,000']
['دنا پلاس', '1401', '175', '930,000,000']
['جک S5', '1398', '41,000', '1,370,000,000']
['تیگو 8  پرو', '1402', 'صفر', '2,600,000,000']
['برلیانس H330', '1399', '79,240', '850,000,000']
['نیسان ایکس تریل', '2017', '70,000', '4,300,000,000']
['چری تیگو 5', '1395', '182,556', '910,000,000']
['پژو 2008', '1398', '88,000', '1,985,000,000']
['دنا پلاس', '1402', 'صفر', '995,000,000']
['آریزو 5 FL', '1402', '3,805', '1,360,000,000']
['تیبا 2', '1400', '32,791', '365,000,000']
['پژو پارس', '1402', '11,000', '800,000,000']
['کوییک', '1402', 'صفر', '570,000,000']
['پژو پارس', '1399', '72,358', '555,000,000']
['میتسوبیشی میراژ', '2015', '112,045', '832,000,000']
['ام وی ام X22', '1396', '66,326', '675,000,000']
['هیوندای سانتافه', '2014', '135,000', '3,000,000,000']
['هایما S5', '1403', 'صفر', '1,510,000,000']
['تارا', '1402', '64', '835,000,000']
['رانا', '1401', '45,000', '570,000,000']
['پژو 206', '1399', '55,000', '520,000,000']
['رنو ساندرو', '1396', '105,000', '790,000,000']
['دنا پلاس', '1401', '47,276', '900,000,000']
['تارا', '1402', '5,666', '920,000,000']
['ساینا', '1398', '123,794', '320,000,000']
['پژو 207', '1400', '63,890', '870,000,000']
['سانگ یانگ تیوولی', '2018', '18,873', '2,379,000,000']
['رنو کولیوس', '2014', '177,986', '2,285,000,000']
['دنا پلاس', '1401', '22,000', '910,000,000']
['هایما S7', '1396', '98,000', '1,200,000,000']
['هیوندای النترا', '2014', '199,658', '1,950,000,000']
['تندر 90 پارس خودرو', '1395', '211,000', '549,000,000']
['برلیانس H330', '1399', '29,051', '910,000,000']
['تارا', '1402', '110', '1,220,000,000']
['نیسان ایکس تریل', '2016', '131,675', '3,800,000,000']
['پژو 2008', '1396', '164,656', '1,635,000,000']
['هیوندای توسان', '2014', '126,000', '2,480,000,000']
['ساندرو استپ وی', '1398', '34,628', '1,150,000,000']
['دنا پلاس', '1400', '10,374', '750,000,000']
['رنو کولیوس', '2017', '118,345', '4,400,000,000']
['پژو 206 صندوقدار', '1398', '85,827', '540,000,000']
['پژو 207 مولتی کالر', '1401', '21,899', '845,000,000']
['پراید 131', '1391', '160,000', '188,000,000']
['پژو پارس', '1401', '11,900', '625,000,000']
['پژو پارس', '1392', '223,000', '354,000,000']
['جک S5', '1402', '23,000', '1,610,000,000']
['پژو پارس', '1401', '51,900', '703,000,000']
['پراید 131', '1396', '101,200', '230,000,000']
['پژو پارس', '1396', '66,000', '465,000,000']
['دنا پلاس', '1402', '15,421', '860,000,000']
['تارا', '1402', 'صفر', '935,000,000']
['CS35 پلاس', '2023', '55', '1,750,000,000']
['کیا پیکانتو', '2013', '167,000', '970,000,000']
['پژو 206', '1397', '73,000', '490,000,000']
['هیوندای النترا', '2015', '131,733', '2,170,000,000']
['پژو پارس', '1396', '86,764', '530,000,000']
['پژو 206', '1399', '27,031', '515,000,000']
['هن تنگ X7', '1399', '59,000', '1,260,000,000']
['دنا', '1394', '59,297', '554,000,000']
['دانگ فنگ H30 cross', '1397', '111,482', '645,000,000']
['تیبا 2', '1401', '28,000', '359,000,000']
['پژو 207', '1402', 'صفر', '780,000,000']
['رانا', '1402', 'صفر', '630,000,000']
['پژو 206 صندوقدار', '1394', '200,518', '435,000,000']
['رنو ساندرو', '1396', '90,885', '800,000,000']
['کوییک', '1402', '459', '535,000,000']
['KMC K7', '1401', '6,789', '1,850,000,000']
['پژو 206', '1398', '55,000', '470,000,000']
['جک J5', '1396', '76,000', '770,000,000']
['سمند LX', '1392', '194,870', '330,000,000']
['تیگو 7 پرو', '1402', 'صفر', '1,950,000,000']
['کوییک', '1402', '8,000', '420,000,000']
['پژو 207', '1397', '100,000', '720,000,000']
['پژو پارس', '1402', '3,943', '700,000,000']
['ساینا', '1395', '108,445', '315,000,000']
['هیوندای سوناتا', '2010', '121,593', '2,150,000,000']
['پژو 206', '1400', '71,500', '555,000,000']
['دنا پلاس', '1402', '5,092', '800,000,000']
['ام وی ام X22', '1402', '8,650', '1,050,000,000']
['ساینا', '1402', '220', '518,000,000']
['پژو 206', '1398', '139,534', '430,000,000']
['جک S3', '1397', '44,000', '940,000,000']
['تارا', '1402', 'صفر', '950,000,000']
['تارا', '1402', '150', '900,000,000']
['سلتوس', '2023', 'صفر', '3,850,000,000']
['جک S3', '1398', '76,142', '915,000,000']
['رانا', '1399', '53,316', '495,000,000']
['لکسوس NX هیبرید', '2017', '36,500', '8,150,000,000']
['لکسوس NX هیبرید', '2016', '109,159', '6,000,000,000']
['پژو 207 مولتی کالر', '1401', '15,986', '840,000,000']
['شاهین', '1401', '41,000', '637,000,000']
['هیوندای سوناتا هیبرید', '2017', '83,000', '3,830,000,000']
['پژو 207', '1402', '10,000', '760,000,000']
['فیدلیتی', '1401', '15,670', '1,700,000,000']
['تویوتا کرولا', '2022', 'صفر', '4,200,000,000']
['دنا پلاس', '1402', 'صفر', '975,000,000']
['پژو پارس', '1401', '19,475', '615,000,000']
['کوییک', '1401', '36,115', '365,000,000']
['سمند LX', '1398', '70,682', '507,000,000']
['دنا پلاس', '1397', '107,000', '625,000,000']
['ون اینرودز', '1401', '21,500', '790,000,000']
['تارا', '1402', '26,648', '885,000,000']
['لیفان 820', '1396', '93,983', '919,000,000']
['چری تیگو 5', '1397', '19,937', '1,160,000,000']
['پژو 206 صندوقدار', '1394', '115,000', '460,000,000']
['لاماری ایما', '1402', 'صفر', '2,035,000,000']
['پژو 207', '1402', 'صفر', '999,000,000']
['شاهین', '1401', '168', '675,000,000']
['ام وی ام X22', '1398', '62,223', '695,000,000']
['جک S5', '1395', '57,167', '1,140,000,000']
['پژو 206', '1399', '15,222', '605,000,000']
['فیدلیتی', '1400', '21,649', '1,710,000,000']
['کوییک', '1402', '352', '525,000,000']
['برلیانس H330', '1397', '91,000', '710,000,000']
['فیدلیتی', '1402', '248', '1,885,000,000']
['هایما S7 توربو', '1402', '13,000', '1,600,000,000']
['جک S5', '1402', '800', '1,650,000,000']
['هایما S7 توربو', '1402', 'صفر', '1,660,000,000']
['رانا', '1400', '50,500', '576,000,000']
['جک S5', '1397', '56,000', '1,270,000,000']
['پژو پارس', '1400', '93,479', '675,000,000']
['هایما S7 توربو', '1398', '68,266', '1,397,000,000']
['پژو پارس', '1395', '136,000', '410,000,000']
['پژو 207', '1402', '15,845', '771,000,000']
